latitude,longitude,OBJECTID,AREA,PERIMETER,COUNTY3_,COUNTY3_ID,COUNTY,COUNTY_A,Shape_Leng,Shape_Area
35.4349574,3.41296377,kE1,5.677,15.047,2,1,Turkana,TURKANA,15.04683769,5.67698507
37.56798641,2.980503399,kE2,6.177,11.974,3,2,Marsabit,MARSABIT,11.97416499,6.17683074
40.73665333,3.438399557,kE3,2.117,7.355,4,3,Mandera,MANDERA,7.35515433,2.117196067
40.03355622,1.809709378,kE4,4.61,9.838,5,4,Wajir,WAJIR,9.8384079,4.609589234
35.24309563,1.727335358,kE5,0.74,5.03,6,5,West Pokot,WEST POKOT,5.030270883,0.74048058
37.11679618,1.319876783,kE6,1.713,8.311,7,6,Samburu,SAMBURU,8.311013434,1.713014465
38.53909593,1.011825873,kE7,2.06,10.181,8,7,Isiolo,ISIOLO,10.18141072,2.059820405
35.94032529,0.676434411,kE8,0.877,5.964,9,8,Baringo,BARINGO,5.964265577,0.877177302
35.53640364,0.799635423,kE9,0.245,4.064,10,9,Keiyo-Marakwet,KEIYO-MARAKWET,4.063526992,0.245207563
34.95709317,1.051828862,kE10,0.202,2.387,11,10,Trans Nzoia,TRANS NZOIA,2.387265175,0.201982889
34.63918366,0.751362798,kE11,0.246,3.076,12,11,Bungoma,BUNGOMA,3.075944,0.245741266
40.18079446,-0.488364577,kE12,3.642,11.281,13,12,Garissa,GARISSA,11.28112634,3.641822722
35.31862935,0.532028036,kE13,0.272,3.718,14,13,Uasin Gishu,UASIN GISHU,3.717922495,0.2718942
34.74402777,0.405536554,kE14,0.243,4.089,15,14,Kakamega,KAKAMEGA,4.089309602,0.242844313
36.76252162,0.323864788,kE15,0.787,5.359,16,15,Laikipia,LAIKIPIA,5.358738222,0.786752643
34.19383977,0.389917217,kE16,0.148,2.683,17,16,Busia,BUSIA,2.682711507,0.147513636
37.7601788,0.171766124,kE17,0.561,4.285,18,17,Meru,MERU,4.284992287,0.560550057
35.11229967,0.185397782,kE18,0.233,2.987,19,18,Nandi,NANDI,2.986883905,0.233172307
34.24725548,-0.058516743,kE19,0.285,2.925,20,19,Siaya,SIAYA,2.924505561,0.285189281
36.07634831,-0.464018022,kE20,0.605,6.475,21,20,Nakuru,NAKURU,6.474904109,0.604912926
34.7219109,0.078251092,kE21,0.045,1.365,22,21,Vihiga,VIHIGA,1.364576282,0.045427821
36.47791508,-0.318080982,kE22,0.266,3.588,23,22,Nyandarua,NYANDARUA,3.587821234,0.265941757
37.8717076,-0.199028135,kE23,0.217,3.091,24,23,Tharaka,THARAKA,3.090716509,0.216960054
35.33665787,-0.243722819,kE24,0.171,2.98,25,24,Kericho,KERICHO,2.979810537,0.170723748
34.83469211,-0.168431492,kE25,0.217,3.115,26,25,Kisumu,KISUMU,3.115222936,0.217291433
36.95382885,-0.343076141,kE26,0.271,3.05,27,26,Nyeri,NYERI,3.050348894,0.270857147
39.41216507,-1.557155314,kE27,3.074,11.603,28,27,Tana River,TANA RIVER,11.60308067,3.074107184
38.40584415,-1.485903041,kE28,2.483,9.029,29,28,Kitui,KITUI,9.028668414,2.483477308
37.31864352,-0.522392645,kE29,0.12,1.875,30,29,Kirinyaga,KIRINYAGA,1.874547372,0.120009802
37.62519011,-0.601300591,kE30,0.23,3.339,31,30,Embu,EMBU,3.339147639,0.229667567
34.36037746,-0.540974103,kE31,0.386,3.41,32,31,Homa Bay,HOMA BAY,3.410302751,0.386328876
35.28131341,-0.691519377,kE32,0.229,2.632,33,32,Bomet,BOMET,2.631657082,0.229037012
34.96476321,-0.642242796,kE33,0.072,1.505,34,33,Nyamira,NYAMIRA,1.504871955,0.071881576
35.57527897,-1.253918786,kE34,1.454,6.862,35,34,Narok,NAROK,6.861770327,1.454090506
34.7761918,-0.772994832,kE35,0.106,1.677,36,35,Kisii,KISII,1.676940061,0.106043099
37.03110301,-0.808843002,kE36,0.206,2.537,37,36,Murang'a,MURANG'A,2.53666179,0.206461535
34.36388734,-0.990352961,kE37,0.257,3.012,38,37,Migori,MIGORI,3.011589574,0.257125786
36.81968451,-1.066726296,kE38,0.209,3.086,39,38,Kiambu,KIAMBU,3.085720756,0.209126217
37.4056479,-1.289852643,kE39,0.506,5.792,40,39,Machakos,MACHAKOS,5.792039685,0.505506721
36.90912789,-2.120649731,kE40,1.774,7.28,41,40,Kajiado,KAJIADO,7.280366189,1.774000521
36.86439946,-1.292629235,kE41,0.057,1.616,42,41,Nairobi,NAIROBI,1.615812536,0.057278018
37.79967367,-2.166198118,kE42,0.649,5.754,43,42,Makueni,MAKUENI,5.753765254,0.649311284
40.76628624,-2.039559641,kE43,0.484,7.49,44,43,Lamu,LAMU,11.26830902,0.501664666
39.68314289,-3.173136118,kE110,1.016,6.22,111,110,Kilifi,KILIFI,6.858122715,1.017021127
38.41810008,-3.432458074,kE111,1.396,5.573,112,111,Taita Taveta,TAITA TAVETA,5.572639392,1.395853814
39.151556,-4.13905767,kE135,0.67,4.994,136,135,Kwale,KWALE,5.646620093,0.671356421
39.6546201,-4.017650822,kE141,0.001,0.177,142,141,Mombasa,MOMBASA,1.979025685,0.01844372
