CSO_PROV_CODE,CSO_PROV_NA_ENG,TOTAL,TOTAL_FEMALE,TOTAL_MALE,0_14_FEMALE,0_14_MALE,0_14_TOTAL,15_24_FEMALE,15_24_MALE,15_24_TOTAL,25_39_FEMALE,25_39_MALE,25_39_TOTAL,40_59_FEMALE,40_59_MALE,40_59_TOTAL,60_FEMALE,60_MALE,60_TOTAL
AF01,Kabul,4523718,2156284,2367434,872325,986431,1858755,522542,571597,1094138,378576,411635,790211,334853,294330,629183,47989,103442,151430
AF02,Kapisa,448245,219308,228937,97352,99491,196843,48141,55629,103770,34234,33164,67397,33164,32094,65258,6419,8558,14977
AF03,Parwan,675795,334058,341737,152630,161269,313899,72955,77755,150710,57596,49917,107513,42237,39357,81595,8639,13439,22079
AF04,Wardak,606077,308338,297739,152242,153205,305447,51068,36615,87684,68413,74194,142606,31797,28907,60704,4818,4818,9636
AF05,Logar,398535,192306,206229,96588,119212,215801,23494,15663,39157,52210,50469,102679,18273,19144,37417,1740,1740,3481
AF06,Nangarhar,1545448,753595,791853,411052,433295,844347,123671,131679,255350,118333,112995,231328,85413,92531,177945,15125,21353,36479
AF07,Laghman,452922,219036,233886,117871,127152,245023,36197,38053,74250,37125,35269,72393,25059,27844,52903,2784,5569,8353
AF08,Panjsher,156001,75195,80806,37036,37036,74072,11223,16835,28058,14590,13468,28058,10101,11223,21324,2245,2245,4489
AF09,Baghlan,926969,441263,485706,205288,238091,443379,100527,98411,198939,70898,75131,146029,59258,62433,121691,5291,11640,16931
AF10,Bamyan,454633,221461,233172,103277,106471,209749,44718,51106,95824,36200,34071,70271,33006,29812,62818,4259,11712,15971
AF11,Ghazni,1249376,599191,650185,303028,334409,637437,105913,97087,202999,104932,119642,224574,77473,80415,157888,7845,18633,26478
AF12,Paktika,441883,215504,226379,123569,140374,263944,22737,17794,40531,48439,43496,91935,18782,21748,40531,1977,2966,4943
AF13,Paktya,561200,262801,298399,127736,144488,272224,51304,61774,113078,43975,42928,86902,37693,42928,80620,2094,6282,8376
AF14,Khost,584075,262736,321339,131856,188506,320362,49812,47859,97671,40045,40045,80091,38092,40045,78137,2930,4884,7814
AF15,Kunarha,458130,223503,234627,123382,134506,257888,43487,38430,81917,30340,32362,62702,25283,26294,51578,1011,3034,4045
AF16,Nooristan,150391,69747,80644,37053,49041,86093,7629,5449,13077,17437,16347,33783,6539,8718,15257,1090,1090,2180
AF17,Badakhshan,966789,465377,501412,218274,238866,457140,83397,86486,169883,85456,79279,164735,70012,75160,145173,8237,21621,29858
AF18,Takhar,1000336,489982,510354,233733,246599,480333,102928,95423,198352,87918,82557,170475,57897,65402,123300,7505,20371,27876
AF19,Kunduz,1029473,493939,535534,247489,268287,515776,92549,109187,201735,84230,81110,165340,60313,62392,122705,9359,14558,23917
AF20,Samangan,394487,187750,206737,88601,99149,187750,31643,37972,69615,35862,35862,71725,26369,26369,52739,5274,7383,12657
AF21,Balkh,1353626,672353,681273,280983,314434,595417,152757,143837,296594,122651,103696,226348,95891,98121,194012,20070,21185,41255
AF22,Sar-e-pul,569043,286160,282883,128881,136527,265408,55703,53518,109221,45873,41504,87377,45873,40412,86285,9830,10922,20752
AF23,Ghor,701653,339510,362143,165326,183040,348366,65934,58061,123995,61013,60029,121043,42316,49204,91520,4920,11809,16729
AF24,Daykundi,468178,237654,230524,112886,112886,225771,48719,41589,90308,38025,34460,72484,33272,30895,64167,4753,10694,15447
AF25,Urozgan,356364,182232,174132,96178,89091,185269,34422,33409,67831,26322,23285,49607,22273,22273,44546,3037,6074,9112
AF26,Zabul,309192,164678,144514,82899,60494,143393,28007,26886,54893,31367,32488,63855,21285,22405,43690,1120,2241,3361
AF27,Kandahar,1252786,626977,625809,347931,349099,697030,68886,52540,121426,134269,120258,254527,74723,98075,172798,1168,5838,7005
AF28,Jawzjan,549900,275501,274399,116812,114608,231421,57304,58406,115710,50692,46284,96976,41876,44080,85956,8816,11020,19836
AF29,Faryab,1015335,515056,500279,219532,226920,446452,88657,69659,158316,119265,102378,221643,72825,73881,146706,14776,27441,42218
AF30,Helmand,940237,461097,479140,238568,241575,480142,92219,85203,177422,84200,88210,172410,44105,59141,103246,2005,5012,7017
AF31,Badghis,504185,239302,264883,109749,130378,240127,48686,42909,91595,49511,51161,100672,28881,34658,63539,2476,5776,8252
AF32,Herat,1928327,952833,975494,460450,488262,948712,206018,188506,394524,150393,132882,283275,120520,131851,252372,15451,33993,49444
AF33,Farah,515973,232461,283512,115775,149505,265279,51050,51962,103012,37376,43757,81134,24614,31906,56520,3646,6381,10028
AF34,Nimroz,167863,79837,88026,41966,48107,90073,16377,16377,32754,13306,12283,25589,7165,10236,17400,1024,1024,2047
