longitude,latitude,number,facility_number,facility_name,facility_type,province,district,parent_pd,village,max_people,people,admin_staff,land_ownership
69.16587,34.52919,1,100," Ministry of Interior Base , Kabul , PD4 ",Ministry Office,Kabul,PD4,,Kabul,1770,45,1770,Gov.
69.17656,34.51609,5,115,"
Security Check post Apperson, PD1 Kabul Police, Kabul",Ministry Survice Office,Kabul,Kabul,,,0,0,0,Gov.
69.11421,34.53411,6,116,"
Wastewater Cleaning Unit of Police academy of Kabul, PD5 ",Ministry Survice Office,Kabul,PD5,,,0,0,0,Rent
69.19386,34.36608,7,117,"
Boundary wall and reinforcement of Afghan National Police, Mosahi, Kabul Afghanistan",Boundy Wall,Kabul,Mosahi,,,0,0,0,Rent
69.11365,34.52263,25,133,"
Fire brigades  directorate, Khoshal Khan, Kabul",Ministry Survice Office,Kabul,Kabul City,,,0,0,0,Rent
69.18160,34.52020,26,134,"
Fire brigades central office, Kabul ",Ministry Survice Office,Kabul,Kabul City,,Tarakhil,19,19,18,Gov.
69.18751,34.58547,27,135,"Batalian Justice, commandant of anti crisis unit, PD15, Kabul",Ministry Survice Office,Kabul,PD15,,Tarakhil,108,108,29,Gov.
69.13870,34.49880,29,137,"
Passport Directorate, PD6, Kabul",Ministry Survice Office,Kabul,PD6,,Kabul,89,11,89,Gov.
69.15340,34.51080,30,138,"
Traffic Directorate Kabul, PD3",Ministry Survice Office,Kabul,PD3,,Kabul,388,0,388,Gov.
69.13544,34.55895,42,154,"
Batavian for transportation, logistics back-up unit, Kabul PD4",Ministry Survice Office,Kabul,Kabul City,,Kabul,34,34,21,Gov.
69.18095,34.58258,46,158,"
Logistics and procurement back-up unit, Khowja Bughra, Kabul",Ministry Survice Office,Kabul,Kabul City,,,0,0,0,Rent
69.18154,34.52016,54,166,"
Fire Brigades Unit, PD2, Kabul",Ministry survice Office,Kabul,PD2,,,0,0,0,Gov.
69.15583,34.56799,55,167,"
Fire Brigades Unit, Fire brigade base Khair Khana, Kabul",Ministry survice Office,Kabul,Kabul City,,Kabul,16,16,2,Gov.
69.24984,34.54805,56,168,"
Fire Brigades Unit, Fire brigades Pul-e-Charkhi base, Kabul",Ministry survice Office,Kabul,Kabul City,,Tarakhil,17,17,4,Gov.
69.15853,34.51797,70,182,"
TV hill, Generator, Transformer, Oil reserves, PD2, Kabul",Ministry survice Office,Kabul,PD2,,Kabul,8,0,8,Gov.
69.16497,34.52806,73,189,"
Passport administration Office, Kabul
",Ministry,Kabul,Kabul City,,,0,0,0,Gov.
69.16159,34.53201,76,192,"
Deputy ministry for general protection, Kabul",Ministry,Kabul,Kabul City,,Kabul,110,0,110,Gov.
69.13949,34.53381,80,196,"
Directorate for Public Registry, PD4, Kabul",Ministry,Kabul,PD4,,Kabul,80,3,80,Gov.
69.14735,34.56293,86,202,"
Commandant for central prison , PD4, Kabul",Ministry survice Office,Kabul,PD4,,,0,0,0,Gov.
69.18000,34.57000,102,219,"
Minstry of interior base boundary wall phase2, Kabul ",Ministry survice Office,Kabul,Kabul City,,,0,0,0,Rent
69.16767,34.52894,106,224,"
Center for recruitment (Temporary) Kabul City, Kabul",Ministry survice Office,Kabul,Kabul City,,,0,0,0,Rent
69.16767,34.52894,107,225,"
Center for recruitment (Permanent) Kabul City, Kabul",Ministry survice Office,Kabul,Kabul City,,,0,0,0,Rent
69.27688,34.54759,108,226,"
Police Field commandant and field logistics center, Kabul",Ministry survice Office,Kabul,Kabul City,,,0,0,0,Rent
69.15448,34.53238,109,227,"
Facilities of Ministry of Interior, Kabul",Ministry Office Facility,Kabul,Kabul City,,,0,0,0,Rent
69.17124,34.52328,110,229,"
Kabul surveillance  center, Kabul City,",Prison ,Kabul,Kabul City,,,0,0,0,Gov.
69.18228,34.51983,115,236,"
Administrative office 15, Kabul city fire brigades unit, Kabul",Ministry survice Office,Kabul,Kabul City,,,0,0,0,Rent
69.17677,34.58463,116,237,"
Ministry of Interior warehouse, PD5, Kabul",Ministry survice Office,Kabul,PD15,,Kabul,0,0,0,Gov.
69.13894,34.49792,119,240,"
Fire Brigades administrator office, Karti-E-See, Kabul",Ministry survice Office,Kabul,Kabul City,,Kabul,20,20,20,Gov.
69.12248,34.55384,122,243,"
Female prison, Kabul city, Kabul",Ministry,Kabul,Kabul City,,,69,0,0,Rent
69.16856,34.52786,123,244,"
""Pezunton"" Ministry of interior, Pd4 Kabul",Ministry survice Office,Kabul,PD4,,,0,0,0,Rent
69.16793,34.52895,124,245,"
Operations of Ministry of interior, PD4, Kabul",Ministry survice Office,Kabul,PD4,,Kabul,32,32,12,Rent
69.16668,34.52850,125,246,"
Justice directorate of Ministry of Interior, PD4, Kabul",Ministry survice Office,Kabul,PD4,,,0,0,0,Rent
69.16622,34.52923,126,247,"
Directorate for organizational structuring of ministry of interior",Ministry survice Office,Kabul,PD4,,Kabul,25,0,25,Rent
69.20360,34.53390,128,249,"
Fir brigades center, PD9",Ministry survice Office,Kabul,PD9,,Tarakhil,26,26,20,Gov.
69.20570,34.53510,129,250,"
Fire brigades administration office, 101 region, PD9, Kabul",Ministry survice Office,Kabul,PD9,,Tarakhil,275,0,275,Gov.
69.14860,34.50540,131,252,"
Facility Directorate of the Ministry of Interior, Kabul",Ministry survice Office,Kabul,PD3,,Kabul,90,0,90,Gov.
69.18740,34.58830,132,253,"
Anti-narcotics police, Kabul City, Kabul",Ministry survice Office,Kabul,Kabul City,,Tarakhil,531,236,531,Gov.
69.18200,34.58710,133,254,"
Administration office for operations, Deputy ministry of anti-narcotics, Kabul",Ministry survice Office,Kabul,Kabul City,,Kabul,1500,1500,675,Gov.
69.17560,34.58640,134,255,"
Special investigation Unit, Kabul",Ministry survice Office,Kabul,Kabul City,,Kabul,60,60,60,Gov.
69.17971,34.56898,223,10145,"
New base of the Ministry of Interior, Kabul",Police Survice Office,Kabul,Kabul City,,PD15,2500,2500,2500,Gov.
69.11320,34.52250,224,10146,"
Extension of commandant, public protection directorate ",Police Survice Office,Kabul,Kabul City,,Kabul,0,0,0,Gov.
69.18932,34.52934,225,10147,"
Center for recruitment and administration, Kabul",Police Survice Office,Kabul,Kabul City,,,0,0,0,Gov.
69.07426,34.62373,226,10148,"
Police Recruitment center, Kabul",Police Survice Office,Kabul,Kabul City,,,0,0,0,Gov.
69.16871,34.52796,230,10154,"
Facilities for recruitment of Afghan National Police ",Ministry survice Office,Kabul,Kabul City,,,0,0,0,Rent
69.16566,34.52818,231,10156,"
Unit for procurement, Investigation, intelligence, anti-corruption and retired personnel, Kabul",Ministry survice Office,Kabul,Kabul City,,,0,0,0,Rent
69.75436,34.59321,268,10193,"
Sorubi Guest house, Sorubi District, Kabul",Ministry survice Office,Kabul,sorubi,,,0,0,0,Rent
69.16666,34.52868,333,10259,"
Biometric Directorate, Ministry of Interior base, PD 4, Kabul",Ministry,Kabul,PD4,,,0,0,0,Gov.
